0.013,0.0554,0.9996,0.0362,1
1,0.0156,0.9866,0.1178,0.99
2.008,0.0383,0.9884,0.1129,1
3.009,0.0276,0.9857,0.15,1
4.018,-0.1197,0.9754,0.1212,0.99
5.017,-0.0284,0.9681,0.1317,0.98
6.009,0.0938,0.9906,0.0897,1
7.008,0.1153,0.9742,0.1012,0.99
8.007,0.246,0.9429,0.0484,0.98
9.006,0.0706,0.9954,0.0917,1
10.004,0.0586,0.9766,0.1505,0.99
11.016,0.0354,0.9686,0.15,0.98
12.004,0.0906,1.0174,-0.0437,1.02
13.028,0.0542,0.9739,0.0616,0.98
14.001,0.0325,0.9925,0.0743,1
15.007,-0.0616,0.9781,0.0342,0.98
16,0.0024,0.9881,0.0814,0.99
17,0.0215,1.0008,0.0614,1
18,-0.0264,0.9862,0.0775,0.99
19.009,0.0288,0.9857,0.0968,0.99
20.015,0.0032,0.9918,0.1048,1
21.011,0.0058,0.9862,0.0946,0.99
22.02,-0.0254,0.9908,0.067,0.99
