time,gFx,gFy,gFz,TgF
20.0750,0.0210,0.9884,0.0702,0.99
20.0960,0.0295,0.9808,0.0912,0.99
20.0970,0.0295,0.9808,0.0912,0.99
20.1130,0.0344,0.9786,0.0938,0.98
20.1300,0.0327,0.9849,0.0819,0.99
20.1460,0.0154,0.9847,0.0709,0.99
20.1720,0.0002,0.9820,0.0926,0.99
20.1900,0.0080,0.9725,0.1122,0.98
20.2020,0.0183,0.9800,0.1112,0.99
20.2120,0.0229,0.9822,0.1119,0.99
20.2290,0.0261,0.9923,0.1124,1.00
20.2470,0.0244,0.9945,0.1095,1.00
20.2630,0.0149,0.9849,0.1131,0.99
20.2860,0.0132,0.9886,0.0931,0.99
20.3050,0.0139,0.9840,0.0733,0.99
20.3140,0.0076,0.9849,0.0697,0.99
20.3290,-0.0012,0.9876,0.0579,0.99
20.3460,0.0014,0.9818,0.0677,0.98
20.3620,0.0212,0.9837,0.0868,0.99
20.3810,0.0173,0.9903,0.0892,0.99
20.3960,0.0102,0.9871,0.1009,0.99
20.4120,0.0159,0.9906,0.1066,1.00
20.4390,0.0022,0.9849,0.1222,0.99
20.4610,0.0088,0.9764,0.1153,0.98
20.4620,0.0088,0.9764,0.1153,0.98
20.4790,0.0164,0.9779,0.0931,0.98
20.4950,0.0127,0.9825,0.0816,0.99
20.5130,0.0058,0.9818,0.0560,0.98
20.5310,0.0061,0.9742,0.0611,0.98
20.5470,0.0129,0.9742,0.0758,0.98
20.5710,0.0124,0.9827,0.0902,0.99
20.5720,0.0151,0.9847,0.0931,0.99
20.5890,0.0120,0.9869,0.0836,0.99
20.6020,0.0088,0.9793,0.0743,0.98
20.6190,-0.0000,0.9808,0.0650,0.98
20.6530,-0.0044,0.9942,0.1044,1.00
20.6540,-0.0044,0.9942,0.1044,1.00
20.6710,0.0044,0.9947,0.1251,1.00
20.6840,0.0117,0.9950,0.1315,1.00
20.7000,0.0190,0.9945,0.1229,1.00
20.7160,0.0112,0.9925,0.0968,1.00
20.7330,0.0102,0.9959,0.1007,1.00
20.7490,-0.0105,0.9888,0.0843,0.99
20.7660,0.0002,0.9901,0.0809,0.99
20.7880,-0.0203,0.9713,0.0855,0.98
20.8080,-0.0059,0.9800,0.0809,0.98
20.8280,0.0058,0.9886,0.0968,0.99
20.8450,0.0054,0.9844,0.0985,0.99
20.8610,0.0032,0.9857,0.0926,0.99
20.8790,-0.0242,0.9691,0.1007,0.97
20.8960,-0.0144,0.9732,0.0897,0.98
20.9120,-0.0093,0.9884,0.0821,0.99
20.9300,-0.0137,0.9930,0.0675,1.00
20.9300,-0.0137,0.9930,0.0675,1.00
20.9500,-0.0142,0.9840,0.0750,0.99
20.9650,-0.0022,0.9866,0.0667,0.99
20.9800,-0.0025,0.9852,0.0716,0.99
20.9950,0.0005,0.9827,0.0875,0.99
21.0110,0.0058,0.9862,0.0946,0.99
21.0290,0.0014,0.9862,0.0941,0.99
21.0690,-0.0105,0.9928,0.0831,1.00
21.0700,-0.0105,0.9928,0.0831,1.00
21.0890,-0.0249,0.9847,0.0877,0.99
21.0970,-0.0279,0.9813,0.0956,0.99
21.1120,-0.0120,0.9852,0.1215,0.99
21.1310,0.0088,0.9896,0.1332,1.00
21.1460,-0.0017,1.0015,0.1254,1.01
21.1620,-0.0012,0.9991,0.1097,1.01
21.1780,0.0098,0.9962,0.0870,1.00
21.1960,0.0076,0.9945,0.0724,1.00
21.2200,-0.0330,0.9771,0.0797,0.98
21.2420,-0.0440,0.9654,0.0855,0.97
21.2510,-0.0259,0.9654,0.0921,0.97
21.2600,-0.0086,0.9769,0.0929,0.98
21.2780,-0.0159,0.9827,0.1031,0.99
21.2950,-0.0137,0.9815,0.1100,0.99
21.3120,-0.0210,0.9761,0.1095,0.98
21.3290,-0.0364,0.9727,0.0887,0.98
21.3570,-0.0127,0.9888,0.0780,0.99
21.3750,-0.0054,0.9879,0.1017,0.99
21.3750,-0.0054,0.9879,0.1017,0.99
21.3910,-0.0073,0.9849,0.1251,0.99
21.4080,-0.0188,0.9844,0.1217,0.99
21.4240,-0.0335,0.9837,0.1117,0.99
21.4530,-0.0398,0.9769,0.1019,0.98
21.4730,-0.0303,0.9969,0.0516,1.00
21.4740,-0.0303,0.9969,0.0516,1.00
21.4890,-0.0122,1.0001,0.0697,1.00
21.5050,-0.0183,0.9964,0.0982,1.00
21.5210,-0.0310,0.9852,0.1376,1.00
21.5380,-0.0230,0.9800,0.1334,0.99
21.5690,-0.0403,0.9857,0.0369,0.99
21.5910,-0.0489,0.9805,0.0655,0.98
21.5920,-0.0489,0.9805,0.0655,0.98
21.6110,-0.0376,0.9759,0.1009,0.98
21.6280,-0.0196,0.9825,0.1117,0.99
21.6450,-0.0139,0.9925,0.1146,1.00
21.6620,-0.0164,0.9918,0.1068,1.00
21.6890,-0.0218,0.9820,0.1024,0.99
21.6890,-0.0154,0.9796,0.0982,0.98
21.7080,-0.0056,0.9840,0.0794,0.99
21.7160,-0.0054,0.9874,0.0714,0.99
21.7320,-0.0196,0.9910,0.0667,0.99
21.7490,-0.0198,0.9849,0.0692,0.99
21.7650,-0.0081,0.9874,0.0777,0.99
21.8030,-0.0296,0.9881,0.1205,1.00
21.8030,-0.0296,0.9881,0.1205,1.00
21.8260,-0.0240,0.9898,0.1332,1.00
21.8450,-0.0144,0.9896,0.1168,1.00
21.8620,-0.0196,0.9876,0.1144,0.99
21.8780,-0.0323,0.9825,0.1149,0.99
21.8960,-0.0330,0.9766,0.1083,0.98
21.8960,-0.0330,0.9766,0.1083,0.98
21.9200,-0.0318,0.9803,0.0755,0.98
21.9430,-0.0242,0.9793,0.0833,0.98
21.9640,-0.0225,0.9737,0.1144,0.98
21.9640,-0.0222,0.9761,0.1178,0.98
21.9780,-0.0218,0.9757,0.1188,0.98
21.9970,-0.0254,0.9871,0.0875,0.99
22.0200,-0.0254,0.9908,0.0670,0.99
22.0400,-0.0257,0.9852,0.0846,0.99
22.0490,-0.0203,0.9862,0.0873,0.99
22.0620,-0.0205,0.9862,0.0968,0.99
22.0770,-0.0227,0.9869,0.1056,0.99
22.0940,-0.0332,0.9822,0.1129,0.99
22.1120,-0.0257,0.9779,0.1141,0.98
22.1280,-0.0154,0.9840,0.0995,0.99
22.1550,-0.0120,0.9844,0.0838,0.99
22.1730,-0.0176,0.9776,0.0958,0.98
22.1800,-0.0181,0.9793,0.0958,0.98
22.1960,-0.0193,0.9852,0.1007,0.99
22.2100,-0.0232,0.9859,0.0951,0.99
22.2310,-0.0284,0.9722,0.1058,0.98
22.2550,-0.0254,0.9732,0.0963,0.98
22.2800,-0.0034,0.9871,0.0882,0.99
22.2810,-0.0003,0.9884,0.0868,0.99
22.2970,-0.0071,0.9947,0.0938,1.00
22.3100,-0.0144,0.9920,0.0904,1.00
22.3280,-0.0200,0.9954,0.0877,1.00
22.3520,-0.0105,0.9984,0.1073,1.00
22.3770,-0.0176,0.9991,0.1004,1.00
22.3780,-0.0188,0.9969,0.1004,1.00
22.3930,-0.0069,0.9886,0.0980,0.99
22.4110,-0.0022,0.9857,0.1029,0.99
22.4300,-0.0010,0.9852,0.1029,0.99
22.4460,-0.0083,0.9852,0.0958,0.99
22.4730,-0.0069,0.9798,0.0995,0.98
22.4740,-0.0069,0.9798,0.0995,0.98
22.4890,-0.0132,0.9803,0.0931,0.98
22.5060,-0.0218,0.9793,0.0853,0.98
22.5220,-0.0313,0.9705,0.0782,0.97
22.5380,-0.0054,0.9727,0.0848,0.98
22.5540,-0.0032,0.9739,0.0792,0.98
22.5710,-0.0152,0.9849,0.0907,0.99
22.5870,-0.0081,0.9891,0.1085,1.00
22.6070,-0.0159,0.9815,0.1036,0.99
22.6190,-0.0210,0.9874,0.0909,0.99
22.6350,-0.0181,0.9906,0.0765,0.99
22.6520,-0.0259,0.9898,0.0606,0.99
22.6680,-0.0230,0.9918,0.0753,0.99
22.7030,-0.0117,0.9952,0.0943,1.00
22.7040,-0.0115,0.9937,0.0919,1.00
22.7170,-0.0076,0.9915,0.0970,1.00
22.7330,-0.0154,0.9864,0.1141,0.99
22.7500,-0.0247,0.9862,0.1129,0.99
22.7660,-0.0174,0.9830,0.0992,0.99
22.7820,0.0002,0.9769,0.0877,0.98
22.7990,0.0073,0.9771,0.0626,0.98
22.8180,-0.0152,0.9691,-0.0654,0.97
22.8340,-0.0450,0.9678,0.1029,0.97
22.8470,-0.0232,0.9737,0.1442,0.98
22.8630,-0.0093,0.9930,0.1315,1.00
22.8800,0.0137,1.0050,0.1088,1.01
22.8960,0.0210,1.0006,0.1332,1.01
22.9120,0.0161,1.0001,0.1229,1.01
